name,area,direction,floor,total_list,price_list,room,hall,jiading,fengxian,baoshan,chongming,xuhui,putuo,yangpu,songjiang,pudong,hongkou,jinshan,changning,minhang,qingpu,jingan,huangpu,qita,maopi,jianzhuang,jingzhuang
海德苑 ,136.48,1.0,低楼层(共7层),1190,87193,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
朱家门小区 ,54.72,1.0,低楼层(共6层),345,63049,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
莱阳北小区 ,60.24,1.0,高楼层(共6层),380,63082,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
潍坊二村 ,61.8,1.0,低楼层(共6层),540,87379,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
南新西园 ,107.39,1.0,低楼层(共18层),535,49819,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
圣鑫苑 ,133.11,1.0,中楼层(共18层),698,52438,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
金杨七街坊 ,55.01,1.0,高楼层(共6层),350,63625,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
利津小区 ,69.2,1.0,中楼层(共18层),435,62862,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
艾东小区 ,49.5,1.0,高楼层(共6层),337,68081,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
天池一村 ,55.58,1.0,高楼层(共6层),390,70170,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
金桂小区 ,88.32,1.0,低楼层(共6层),900,101903,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
绿川新苑 ,103.27,1.0,高楼层(共6层),626,60618,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
学北路20弄 ,73,1.0,中楼层(共6层),305,41781,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
金橘新苑（北区） ,62.71,1.0,14层,490,78138,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
艺泰安邦 ,109.06,1.0,低楼层(共17层),274,25124,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
民乐城朗苑 ,58.02,1.0,低楼层(共13层),195,33610,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
绿洲康城亲水湾(中央区) ,108.11,0.0,低楼层(共8层),685,63362,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
海洲桃花园一期 ,81.11,1.0,高楼层(共11层),315,38837,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
新舒苑 ,81.6,1.0,高楼层(共6层),165,20221,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
美林小城 ,115.21,1.0,低楼层(共13层),589,51125,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
丽水雅苑北苑 ,82.44,1.0,低楼层(共21层),256,31053,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
恒大小区 ,111.94,1.0,高楼层(共6层),710,63427,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
博山小区 ,63.73,1.0,低楼层(共25层),445,69826,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
绿地康桥新苑 ,86.98,1.0,低楼层(共6层),457,52541,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
丽水雅苑 ,69.9,1.0,高楼层(共18层),228,32619,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
城中花园 ,102.47,1.0,高楼层(共12层),630,61482,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
黄楼新世纪花苑 ,137.07,1.0,中楼层(共5层),475,34654,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
