name,area,direction,floor,total_list,price_list,room,hall,jiading,fengxian,baoshan,chongming,xuhui,putuo,yangpu,songjiang,pudong,hongkou,jinshan,changning,minhang,qingpu,jingan,huangpu,qita,maopi,jianzhuang,jingzhuang
高行绿洲(五期) ,93.2,1.0,低楼层(共14层),505,54185,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
绿川新苑 ,48.81,1.0,中楼层(共6层),259,53063,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
金杨新村五街坊 ,48.83,1.0,高楼层(共6层),295,60414,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
瑞康苑 ,72.05,1.0,低楼层(共31层),395,54824,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
大华锦绣华城(一街区) ,57.82,1.0,低楼层(共18层),488,84400,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
虹南小区(浦东) ,65.1,1.0,高楼层(共5层),370,56836,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
金杨新村十一街坊 ,54.82,1.0,高楼层(共6层),355,64758,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
绿地东岸涟城 ,86,1.0,中楼层(共12层),249,28954,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
百欣苑 ,84.11,1.0,高楼层(共6层),270,32101,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
山泉花苑 ,127.84,1.0,高楼层(共6层),1080,84481,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
众盛公寓 ,104.56,1.0,高楼层(共7层),728,69626,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
莲珠大厦 ,144.77,1.0,低楼层(共25层),570,39373,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
香山新村东南街坊 ,39.76,1.0,高楼层(共6层),249,62626,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
星颂家园 ,56.29,1.0,中楼层(共24层),290,51519,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
民春苑 ,75.22,1.0,中楼层(共6层),315,41878,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
